symbol	direct_call_site_count	runtime_direct_call_site_count	caller_paths	caller_packages	caller_dispositions	provisional_first_hop	stage1_final_disposition	stage1_owner	stage1_basis	upstream_header_state	upstream_package_roots	upstream_declaration_candidates	next_stage
"GlobalFlags"	"1"	"0"	"wow32/wkglobal.c"	"wow32"	"not-host-runtime"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"upstream-header-candidates-found"	"com/ole32/olethunk;public/internal/shell;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/wap/base;windows/core/ntuser"	"com/ole32/olethunk/ole16/inc/windows.h:619;com/ole32/olethunk/ole16/inc/windows.h:622;public/internal/shell/inc/heapaloc.h:76;public/sdk/inc/pwin32.h:279;public/sdk/inc/regstr.h:266;public/sdk/inc/regstr.h:267;public/sdk/inc/winbase.h:1295;public/sdk/inc/winbase.h:555;sdktools/jetadmin/inc/regstr.h:247;sdktools/jetadmin/inc/regstr.h:248;sdktools/jetadmin/inc/winbase.h:1114;sdktools/jetadmin/inc/winbase.h:525;sdktools/jetadmin/sdk/inc32/regstr.h:195;sdktools/jetadmin/sdk/inc32/regstr.h:196;sdktools/jetadmin/sdk/inc32/winbase.h:1044;sdktools/jetadmin/sdk/inc32/winbase.h:492;sdktools/wap/base/baseapi.h:243;windows/core/ntuser/client/usercli.h:76;windows/core/ntuser/client/usercli.h:85;windows/core/ntuser/client/usercli.h:94"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"GlobalFree"	"13"	"12"	"wow32/wcommdlg.c;wow32/wdde.c;wow32/wgdi.c;wow32/wkglobal.c;wow32/wmdisp32.c;wow32/wmsg16.c"	"wow32"	"adapter-backed;not-host-runtime;overlay-required"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"com/ole32/olethunk;net/sockets/winsock2;net/sockets/winsock2.nt5;public/internal/shell;public/sdk/inc;shell/inc/port32.h;shell/lz/lib;windows/core/ntuser"	"com/ole32/olethunk/ole16/inc/windows.h:603;com/ole32/olethunk/ole16/ole2/memstm.h:108;net/sockets/winsock2.nt5/ws2help/precomp.h:147;net/sockets/winsock2/ws2help/precomp.h:81;public/internal/shell/inc/heapaloc.h:171;public/internal/shell/inc/heapaloc.h:73;public/internal/shell/inc/port32.h:50;public/sdk/inc/pwin32.h:280;public/sdk/inc/winbase.h:1327;public/sdk/inc/windowsx.h:35;public/sdk/inc/winuser.h:1962;shell/inc/port32.h:65;shell/lz/lib/translat.h:164;shell/lz/lib/translat.h:167;windows/core/ntuser/client/usercli.h:107;windows/core/ntuser/client/usercli.h:113;windows/core/ntuser/client/usercli.h:93;windows/core/ntuser/client/usercli.h:96;windows/core/ntuser/inc/ntcb.h:1428;windows/core/ntuser/inc/ntcb.h:1508"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"GlobalGetAtomName"	"5"	"3"	"vdmexts/wow.c;wow32/debug.c;wow32/wmsg16.c;wow32/wuser.c"	"vdmexts;wow32"	"not-host-runtime;overlay-required;tool-only"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"admin/netui/common;com/ole32/com;com/ole32/ih;com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk"	"admin/netui/common/hack/dos/windows.h:919;com/ole32/com/dde/server/ddedebug.h:46;com/ole32/com/remote.obs/dde/server/ddedebug.h:46;com/ole32/ih/widewrap.h:285;com/ole32/ih/widewrap.h:286;com/ole32/olethunk/ole16/inc/windows.h:970;public/sdk/inc/winbase.h:4977;public/sdk/inc/winbase.h:4979;sdktools/jetadmin/inc/winbase.h:4376;sdktools/jetadmin/inc/winbase.h:4378;sdktools/jetadmin/sdk/inc32/winbase.h:4190;sdktools/jetadmin/sdk/inc32/winbase.h:4192"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"GlobalHandle"	"1"	"0"	"wow32/wkglobal.c"	"wow32"	"not-host-runtime"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"upstream-header-candidates-found"	"admin/netui/common;com/ole32/olethunk;public/internal/shell;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/wap/base;windows/core/ntgdi"	"admin/netui/common/hack/dos/windows.h:567;com/ole32/olethunk/ole16/inc/olemem.h:20;com/ole32/olethunk/ole16/inc/olemem.h:28;com/ole32/olethunk/ole16/inc/windows.h:617;public/internal/shell/inc/heapaloc.h:77;public/sdk/inc/pwin32.h:281;public/sdk/inc/winbase.h:1307;public/sdk/inc/winbase.h:1311;public/sdk/inc/windowsx.h:23;sdktools/jetadmin/inc/winbase.h:1126;sdktools/jetadmin/inc/winbase.h:1130;sdktools/jetadmin/inc/windowsx.h:23;sdktools/jetadmin/sdk/inc32/winbase.h:1056;sdktools/jetadmin/sdk/inc32/winbase.h:1060;sdktools/jetadmin/sdk/inc32/windowsx.h:23;sdktools/wap/base/baseapi.h:247;windows/core/ntgdi/direct/blitlib/dibfx.h:50;windows/core/ntgdi/direct/blitlib/dibfx.h:52;windows/core/ntgdi/direct/ddhel/dibfx.h:32;windows/core/ntgdi/direct/ddhel/dibfx.h:34"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"GlobalLock"	"31"	"30"	"wow32/wcommdlg.c;wow32/wdde.c;wow32/wgdi.c;wow32/wkglobal.c;wow32/wmdisp32.c;wow32/wmsg16.c;wow32/wshell.c;wow32/wstruc.c;wow32/wuclip.c;wow32/wumsg.c"	"wow32"	"adapter-backed;not-host-runtime;overlay-required"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"com/ole32/olecnv32;com/ole32/olethunk;public/internal/shell;public/sdk/inc;shell/inc/port32.h;windows/core/ntuser"	"com/ole32/olecnv32/error.h:23;com/ole32/olethunk/ole16/inc/ole2int.h:41;com/ole32/olethunk/ole16/inc/olemem.h:16;com/ole32/olethunk/ole16/inc/olemem.h:24;com/ole32/olethunk/ole16/inc/windows.h:609;com/ole32/olethunk/ole16/inc/windows.h:611;public/internal/shell/inc/heapaloc.h:78;public/internal/shell/inc/port32.h:48;public/sdk/inc/pwin32.h:282;public/sdk/inc/winbase.h:1303;public/sdk/inc/windowsx.h:26;public/sdk/inc/windowsx.h:31;public/sdk/inc/windowsx.h:33;public/sdk/inc/windowsx.h:679;public/sdk/inc/windowsx.h:685;shell/inc/port32.h:63;windows/core/ntuser/client/usercli.h:105;windows/core/ntuser/client/usercli.h:78;windows/core/ntuser/inc/ntcb.h:360"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"GlobalLRUNewest"	"1"	"0"	"wow32/wkglobal.c"	"wow32"	"not-host-runtime"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"upstream-header-candidates-found"	"admin/netui/common;com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk"	"admin/netui/common/hack/dos/windows.h:588;com/ole32/olethunk/ole16/inc/windows.h:638;public/sdk/inc/winbase.h:551;sdktools/jetadmin/inc/winbase.h:521;sdktools/jetadmin/sdk/inc32/winbase.h:488"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"GlobalLRUOldest"	"1"	"0"	"wow32/wkglobal.c"	"wow32"	"not-host-runtime"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"upstream-header-candidates-found"	"admin/netui/common;com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk"	"admin/netui/common/hack/dos/windows.h:589;com/ole32/olethunk/ole16/inc/windows.h:639;public/sdk/inc/winbase.h:552;sdktools/jetadmin/inc/winbase.h:522;sdktools/jetadmin/sdk/inc32/winbase.h:489"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"GlobalMemoryStatus"	"4"	"3"	"dpmi32/dpmimemr.c;dpmi32/i386/dpmimem.c;softpc.new/host/src/config.c;wow32/wkmem.c"	"dpmi32;softpc.new;wow32"	"adapter-backed;not-host-runtime;overlay-required"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/wap/base"	"public/sdk/inc/winbase.h:1369;sdktools/jetadmin/inc/winbase.h:1188;sdktools/jetadmin/sdk/inc32/winbase.h:1118;sdktools/wap/base/baseapi.h:249"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"GlobalPageLock"	"1"	"0"	"wow32/wkglobal.c"	"wow32"	"not-host-runtime"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"upstream-header-candidates-found"	"admin/netui/common;com/ole32/olethunk;windows/port1632/preport.h"	"admin/netui/common/hack/dos/windows.h:582;com/ole32/olethunk/ole16/inc/windows.h:632;windows/port1632/preport.h:149"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"GlobalPageUnlock"	"1"	"0"	"wow32/wkglobal.c"	"wow32"	"not-host-runtime"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"upstream-header-candidates-found"	"admin/netui/common;com/ole32/olethunk;windows/port1632/preport.h"	"admin/netui/common/hack/dos/windows.h:583;com/ole32/olethunk/ole16/inc/windows.h:633;windows/port1632/preport.h:150"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"GlobalReAlloc"	"1"	"0"	"wow32/wkglobal.c"	"wow32"	"not-host-runtime"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"upstream-header-candidates-found"	"com/ole32/olethunk;net/sockets/winsock2;net/sockets/winsock2.nt5;public/internal/shell;public/sdk/inc;sdktools/jetadmin/sdk;sdktools/mstest/ntdrvr;sdktools/perfmon/pmemory.h;sdktools/restools/rltools;windows/core/ntuser"	"com/ole32/olethunk/ole16/inc/windows.h:599;com/ole32/olethunk/ole16/inc/windows.h:602;net/sockets/winsock2.nt5/ws2help/precomp.h:141;net/sockets/winsock2/ws2help/precomp.h:75;public/internal/shell/inc/heapaloc.h:229;public/internal/shell/inc/heapaloc.h:231;public/internal/shell/inc/heapaloc.h:234;public/internal/shell/inc/heapaloc.h:266;public/internal/shell/inc/heapaloc.h:71;public/sdk/inc/pwin32.h:284;public/sdk/inc/winbase.h:1279;public/sdk/inc/winbase.h:553;public/sdk/inc/windowsx.h:33;sdktools/jetadmin/sdk/inc32/snmp.h:255;sdktools/jetadmin/sdk/inc32/winbase.h:1028;sdktools/jetadmin/sdk/inc32/winbase.h:490;sdktools/mstest/ntdrvr/inc/defines.h:769;sdktools/perfmon/pmemory.h:16;sdktools/restools/rltools/common/windefs.h:63;windows/core/ntuser/client/usercli.h:111"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"GlobalSize"	"8"	"7"	"wow32/wdde.c;wow32/wkglobal.c;wow32/wmdisp32.c;wow32/wshell.c;wow32/wuclip.c"	"wow32"	"adapter-backed;not-host-runtime;overlay-required"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"com/ole32/com;com/ole32/olethunk;public/internal/shell;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/mstest/ntdrvr;sdktools/perfmon/pmemory.h;sdktools/vmmreg32/pch.h;sdktools/wap/base;shell/inc/port32.h;windows/core/ntgdi;windows/core/ntuser"	"com/ole32/com/dde/client/ddeproxy.h:22;com/ole32/com/dde/server/srvr.h:19;com/ole32/com/remote.obs/dde/client/ddeproxy.h:16;com/ole32/com/remote.obs/dde/server/srvr.h:19;com/ole32/olethunk/ole16/inc/windows.h:616;public/internal/shell/inc/heapaloc.h:337;public/internal/shell/inc/heapaloc.h:72;public/internal/shell/inc/port32.h:51;public/sdk/inc/pwin32.h:285;public/sdk/inc/winbase.h:1288;sdktools/jetadmin/inc/winbase.h:1107;sdktools/jetadmin/sdk/inc32/winbase.h:1037;sdktools/mstest/ntdrvr/inc/defines.h:758;sdktools/perfmon/pmemory.h:11;sdktools/vmmreg32/pch.h:143;sdktools/wap/base/baseapi.h:251;shell/inc/port32.h:66;windows/core/ntgdi/direct/ddhel/ddhelos.h:28;windows/core/ntuser/client/usercli.h:112;windows/core/ntuser/inc/ntcftxt.h:496"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"GlobalUnfix"	"1"	"0"	"wow32/wkglobal.c"	"wow32"	"not-host-runtime"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"upstream-header-candidates-found"	"admin/netui/common;com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/wap/base"	"admin/netui/common/hack/dos/windows.h:586;com/ole32/olethunk/ole16/inc/windows.h:636;public/sdk/inc/winbase.h:1348;public/sdk/inc/winbase.h:51;public/sdk/inc/wownt32.h:49;public/sdk/inc/wownt32.h:53;sdktools/jetadmin/inc/winbase.h:1167;sdktools/jetadmin/inc/winbase.h:40;sdktools/jetadmin/inc/wownt32.h:49;sdktools/jetadmin/inc/wownt32.h:53;sdktools/jetadmin/sdk/inc32/winbase.h:1097;sdktools/jetadmin/sdk/inc32/winbase.h:40;sdktools/wap/base/baseapi.h:253"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"GlobalUnlock"	"32"	"31"	"wow32/wcommdlg.c;wow32/wdde.c;wow32/wgdi.c;wow32/wkglobal.c;wow32/wmdisp32.c;wow32/wmsg16.c;wow32/wshell.c;wow32/wstruc.c;wow32/wuclip.c;wow32/wumsg.c"	"wow32"	"adapter-backed;not-host-runtime;overlay-required"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"com/ole32/olethunk;public/internal/shell;public/sdk/inc;sdktools/jetadmin/sdk;sdktools/mstest/ntdrvr;sdktools/winobj/winfile.h;shell/inc/port32.h;shell/shell32/pifmgrp.h;windows/core/ntuser"	"com/ole32/olethunk/ole16/inc/olemem.h:28;com/ole32/olethunk/ole16/inc/windows.h:614;com/ole32/olethunk/ole16/inc/windows.h:856;public/internal/shell/inc/heapaloc.h:79;public/internal/shell/inc/port32.h:49;public/sdk/inc/pwin32.h:286;public/sdk/inc/winbase.h:1319;public/sdk/inc/windowsx.h:28;public/sdk/inc/windowsx.h:679;public/sdk/inc/windowsx.h:685;sdktools/jetadmin/sdk/inc32/winbase.h:1068;sdktools/mstest/ntdrvr/inc/defines.h:771;sdktools/mstest/ntdrvr/inc/scanner.h:86;sdktools/winobj/winfile.h:1044;shell/inc/port32.h:64;shell/shell32/pifmgrp.h:82;shell/shell32/pifmgrp.h:83;windows/core/ntuser/client/usercli.h:106;windows/core/ntuser/client/usercli.h:84;windows/core/ntuser/client/usercli.h:87"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"GlobalUnWire"	"1"	"0"	"wow32/wkglobal.c"	"wow32"	"not-host-runtime"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"upstream-header-candidates-found"	"admin/netui/common;com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/wap/base"	"admin/netui/common/hack/dos/windows.h:580;com/ole32/olethunk/ole16/inc/windows.h:630;public/sdk/inc/winbase.h:1362;sdktools/jetadmin/inc/winbase.h:1181;sdktools/jetadmin/sdk/inc32/winbase.h:1111;sdktools/wap/base/baseapi.h:252"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"GlobalWire"	"1"	"0"	"wow32/wkglobal.c"	"wow32"	"not-host-runtime"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"upstream-header-candidates-found"	"admin/netui/common;com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/wap/base"	"admin/netui/common/hack/dos/windows.h:575;admin/netui/common/hack/dos/windows.h:577;com/ole32/olethunk/ole16/inc/windows.h:625;com/ole32/olethunk/ole16/inc/windows.h:627;public/sdk/inc/winbase.h:1355;sdktools/jetadmin/inc/winbase.h:1174;sdktools/jetadmin/sdk/inc32/winbase.h:1104;sdktools/wap/base/baseapi.h:255"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"GrayString"	"2"	"2"	"wow32/wuser.c"	"wow32"	"overlay-required"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"admin/netui/common;com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;windows/core/ntuser"	"admin/netui/common/hack/dos/windows.h:1643;com/ole32/olethunk/ole16/inc/windows.h:1696;public/sdk/inc/mfc30/afxpriv.h:271;public/sdk/inc/mfc30/afxwin.h:765;public/sdk/inc/mfc40/afxpriv.h:316;public/sdk/inc/mfc40/afxwin.h:880;public/sdk/inc/mfc42/afxpriv.h:283;public/sdk/inc/mfc42/afxwin.h:884;public/sdk/inc/winuser.h:4988;public/sdk/inc/winuser.h:4990;sdktools/jetadmin/inc/mfc/inc/afxpriv.h:283;sdktools/jetadmin/inc/mfc/inc/afxwin.h:884;sdktools/jetadmin/inc/winuser.h:4988;sdktools/jetadmin/inc/winuser.h:4990;sdktools/jetadmin/sdk/inc32/winuser.h:4797;sdktools/jetadmin/sdk/inc32/winuser.h:4799;windows/core/ntuser/inc/user.h:1567;windows/core/ntuser/inc/user.h:1569"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"HeapAlloc"	"6"	"3"	"vdd/samples/mscdex/vdd/vcdex.c;vdd/samples/sample2/vdd/vdd.c;wow32/wheap.c;wow32/wow32.c"	"vdd;wow32"	"not-host-runtime;overlay-required"	"non-mvdm-owner-resolution-required"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"public/internal/shell;shell/comctl32/mem.h;windows/core/advapi;windows/core/ntgdi;windows/core/ntuser"	"public/internal/shell/inc/heapaloc.h:108;public/internal/shell/inc/heapaloc.h:131;public/internal/shell/inc/heapaloc.h:138;public/internal/shell/inc/heapaloc.h:187;public/internal/shell/inc/heapaloc.h:213;public/internal/shell/inc/heapaloc.h:220;public/internal/shell/inc/heapaloc.h:9;shell/comctl32/mem.h:23;windows/core/advapi/digsig/softpub/common.h:153;windows/core/ntgdi/printers/rasprint.sp1/inc/rasdd.h:16;windows/core/ntgdi/printers/rasprint.sp1/rasddui/main.h:112;windows/core/ntgdi/printers/rasprint.sp1/rasddui/main.h:115;windows/core/ntgdi/printers/rasprint.sp1/rasddui/main.h:126;windows/core/ntgdi/printers/rasprint.sp1/rasddui/main.h:135;windows/core/ntgdi/printers/rasprint/rasddui/main.h:112;windows/core/ntgdi/printers/rasprint/rasddui/main.h:115;windows/core/ntgdi/printers/rasprint/rasddui/main.h:126;windows/core/ntgdi/printers/rasprint/rasddui/main.h:135;windows/core/ntuser/client/usercli.h:1152;windows/core/ntuser/imm/immcli.h:105"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"HeapCreate"	"3"	"2"	"vdd/samples/sample2/vdd/vdd.c;wow32/wheap.c;wow32/wow32.c"	"vdd;wow32"	"not-host-runtime;overlay-required"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/vctools/pdb;sdktools/wap/base;windows/core/ntgdi"	"public/sdk/inc/winbase.h:1578;sdktools/jetadmin/inc/winbase.h:1358;sdktools/jetadmin/sdk/inc32/winbase.h:1267;sdktools/vctools/pdb/dbi/heap.h:10;sdktools/vctools/pdb/include/heap.h:19;sdktools/wap/base/baseapi.h:257;windows/core/ntgdi/printers/hprasdd/rasddui/main.h:36;windows/core/ntgdi/printers/psprint/inc/psmem.h:154;windows/core/ntgdi/printers/rasprint.sp1/rasddui/main.h:36;windows/core/ntgdi/printers/rasprint/rasddui/main.h:36"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"HeapDestroy"	"3"	"1"	"vdd/samples/sample2/vdd/vdd.c;wow32/wow32.c"	"vdd;wow32"	"not-host-runtime;overlay-required"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/vctools/pdb;sdktools/wap/base;windows/core/ntgdi"	"public/sdk/inc/winbase.h:1587;sdktools/jetadmin/inc/winbase.h:1367;sdktools/jetadmin/sdk/inc32/winbase.h:1276;sdktools/vctools/pdb/dbi/heap.h:20;sdktools/vctools/pdb/include/heap.h:29;sdktools/wap/base/baseapi.h:258;windows/core/ntgdi/printers/hprasdd/rasddui/main.h:160;windows/core/ntgdi/printers/psprint/inc/psmem.h:155;windows/core/ntgdi/printers/rasprint.sp1/rasddui/main.h:160;windows/core/ntgdi/printers/rasprint/rasddui/main.h:160"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"HeapFree"	"5"	"2"	"vdd/samples/mscdex/vdd/vcdex.c;vdd/samples/sample2/vdd/vdd.c;wow32/wheap.c;wow32/wow32.c"	"vdd;wow32"	"not-host-runtime;overlay-required"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"com/ole32/dbgexts;public/internal/shell;public/sdk/inc;sdktools/jetadmin/sdk;sdktools/ntsdexts/ntsdextp.h;sdktools/pdh/dll;sdktools/perflog/pdlsvc;sdktools/vmmreg32/pch.h;sdktools/wap/base;shell/comctl32/mem.h;windows/core/advapi;windows/core/ntgdi;windows/core/ntuser"	"com/ole32/dbgexts/ole.h:54;public/internal/shell/inc/heapaloc.h:151;public/internal/shell/inc/heapaloc.h:158;public/internal/shell/inc/heapaloc.h:170;public/internal/shell/inc/heapaloc.h:177;public/internal/shell/inc/heapaloc.h:52;public/internal/shell/inc/heapaloc.h:55;public/sdk/inc/winbase.h:1614;sdktools/jetadmin/sdk/inc32/winbase.h:1303;sdktools/ntsdexts/ntsdextp.h:87;sdktools/pdh/dll/pdhidef.h:25;sdktools/perflog/pdlsvc/pdlsvc.h:12;sdktools/vmmreg32/pch.h:130;sdktools/wap/base/baseapi.h:259;shell/comctl32/mem.h:25;windows/core/advapi/digsig/softpub/common.h:154;windows/core/ntgdi/printers/lib/libproto.h:24;windows/core/ntgdi/printers/rasprint.sp1/inc/rasdd.h:17;windows/core/ntuser/client/usercli.h:1154;windows/core/ntuser/imm/immcli.h:107"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"HeapReAlloc"	"1"	"1"	"wow32/wow32.c"	"wow32"	"overlay-required"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"public/internal/shell;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/pdh/dll;sdktools/vmmreg32/pch.h;sdktools/wap/base;shell/comctl32/mem.h;windows/core/ntuser"	"public/internal/shell/inc/heapaloc.h:231;public/internal/shell/inc/heapaloc.h:273;public/internal/shell/inc/heapaloc.h:284;public/internal/shell/inc/heapaloc.h:326;public/sdk/inc/winbase.h:1604;sdktools/jetadmin/inc/winbase.h:1384;sdktools/jetadmin/sdk/inc32/winbase.h:1293;sdktools/pdh/dll/pdhidef.h:24;sdktools/vmmreg32/pch.h:131;sdktools/wap/base/baseapi.h:260;shell/comctl32/mem.h:24;windows/core/ntuser/client/usercli.h:1153;windows/core/ntuser/imm/immcli.h:106"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"herc_init"	"1"	"0"	"softpc.new/base/video/gvi.c"	"softpc.new"	"not-host-runtime"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"no-non-mvdm-header-candidate; macro/CRT/Win32/import/assembly/or-unresolved"	""	""	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"herc_term"	"2"	"0"	"softpc.new/base/video/gvi.c"	"softpc.new"	"not-host-runtime"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"no-non-mvdm-header-candidate; macro/CRT/Win32/import/assembly/or-unresolved"	""	""	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"hfx_driver_initialisation"	"2"	"0"	"softpc.new/base/bios/reset.c;softpc.new/base/support/main.c"	"softpc.new"	"firmware-only;not-host-runtime"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"no-non-mvdm-header-candidate; macro/CRT/Win32/import/assembly/or-unresolved"	""	""	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"hfx_driver_termination"	"1"	"0"	"softpc.new/base/bios/reset.c"	"softpc.new"	"firmware-only"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"no-upstream-header-candidate"	""	""	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"hfx_init"	"1"	"0"	"softpc.new/base/bios/reset.c"	"softpc.new"	"firmware-only"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"no-upstream-header-candidate"	""	""	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"hg_add_comms_cb"	"2"	"0"	"softpc.new/base/comms/com.c"	"softpc.new"	"not-host-runtime"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"no-non-mvdm-header-candidate; macro/CRT/Win32/import/assembly/or-unresolved"	""	""	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
